Date	Price	Open	High	Low	Change
2/26/2008	1.4996	1.4832	1.5046	1.4778	1.10%
2/27/2008	1.5115	1.4995	1.5142	1.4981	0.79%
2/28/2008	1.5191	1.5116	1.5228	1.5072	0.50%
2/29/2008	1.5178	1.5187	1.5238	1.5143	-0.09%
3/3/2008	1.5196	1.5199	1.5273	1.5159	0.12%
3/4/2008	1.5206	1.5195	1.5248	1.5173	0.07%
3/5/2008	1.5276	1.5207	1.5301	1.5145	0.46%
3/6/2008	1.5384	1.5275	1.5394	1.5271	0.71%
3/7/2008	1.5354	1.5383	1.5462	1.5313	-0.20%
3/10/2008	1.5337	1.5393	1.54	1.5312	-0.11%
3/11/2008	1.5339	1.5338	1.5492	1.5281	0.01%
3/12/2008	1.554	1.5338	1.5571	1.5338	1.31%
3/13/2008	1.562	1.5539	1.5644	1.5522	0.51%
3/14/2008	1.5673	1.5621	1.5687	1.5531	0.34%
3/17/2008	1.5744	1.575	1.5902	1.5685	0.45%
3/18/2008	1.5653	1.5743	1.583	1.5613	-0.58%
3/19/2008	1.5636	1.5655	1.5786	1.5581	-0.11%
3/20/2008	1.5437	1.5637	1.5639	1.5396	-1.27%
3/21/2008	1.5432	1.5434	1.5472	1.5406	-0.03%
3/24/2008	1.5433	1.5406	1.5455	1.5343	0.01%
3/25/2008	1.561	1.5434	1.5658	1.5413	1.15%
3/26/2008	1.5821	1.5609	1.5859	1.5584	1.35%
3/27/2008	1.581	1.582	1.5845	1.5726	-0.07%
3/28/2008	1.5794	1.5809	1.5838	1.5742	-0.10%
3/31/2008	1.5758	1.5771	1.5896	1.5748	-0.23%
4/1/2008	1.5616	1.5759	1.5785	1.5563	-0.90%
4/2/2008	1.5674	1.5617	1.5701	1.5532	0.37%
4/3/2008	1.5659	1.5675	1.5685	1.551	-0.10%
4/4/2008	1.5737	1.566	1.5773	1.5637	0.50%
4/7/2008	1.5707	1.5731	1.5731	1.5626	-0.19%
4/8/2008	1.5696	1.5708	1.5798	1.5674	-0.07%
4/9/2008	1.5817	1.5695	1.5864	1.5687	0.77%
4/10/2008	1.5757	1.5816	1.5913	1.5725	-0.38%
4/11/2008	1.5807	1.5756	1.5855	1.5751	0.32%
4/14/2008	1.5825	1.5712	1.5884	1.5671	0.11%
4/15/2008	1.5785	1.5824	1.5874	1.5752	-0.25%
4/16/2008	1.5939	1.5786	1.5978	1.5778	0.98%
4/17/2008	1.5906	1.5938	1.5983	1.5847	-0.21%
4/18/2008	1.5816	1.5907	1.5956	1.571	-0.57%
4/21/2008	1.5914	1.5807	1.5945	1.579	0.62%
4/22/2008	1.5974	1.5912	1.6018	1.5834	0.38%
4/23/2008	1.5881	1.5973	1.5998	1.5859	-0.58%
4/24/2008	1.5674	1.588	1.5884	1.5638	-1.30%
4/25/2008	1.5629	1.5673	1.5707	1.5554	-0.29%
4/28/2008	1.5655	1.5617	1.5693	1.5596	0.17%
4/29/2008	1.5576	1.5656	1.5659	1.5539	-0.50%
4/30/2008	1.5625	1.5575	1.5643	1.5516	0.31%
5/1/2008	1.5478	1.5624	1.5643	1.5429	-0.94%
5/2/2008	1.5423	1.5479	1.5498	1.536	-0.36%
5/5/2008	1.5504	1.5437	1.5519	1.5425	0.53%
5/6/2008	1.5518	1.5503	1.5594	1.5451	0.09%
5/7/2008	1.5343	1.5519	1.552	1.5333	-1.13%
5/8/2008	1.5405	1.5342	1.544	1.5284	0.40%
5/9/2008	1.548	1.5404	1.5487	1.5393	0.49%
5/12/2008	1.5531	1.5468	1.5569	1.5365	0.33%
5/13/2008	1.547	1.5532	1.5565	1.543	-0.39%
5/14/2008	1.5466	1.5469	1.5485	1.5396	-0.03%
5/15/2008	1.5458	1.5465	1.5546	1.5419	-0.05%
5/16/2008	1.5576	1.5459	1.5601	1.5447	0.76%
5/19/2008	1.5527	1.5583	1.5632	1.5487	-0.31%
5/20/2008	1.5648	1.5526	1.568	1.5503	0.78%
5/21/2008	1.578	1.5647	1.5797	1.5631	0.84%
5/22/2008	1.5731	1.5781	1.5813	1.5693	-0.31%
5/23/2008	1.5761	1.573	1.5794	1.5696	0.19%
5/26/2008	1.5778	1.5779	1.5791	1.5741	0.11%
5/27/2008	1.5688	1.5779	1.5818	1.5671	-0.57%
5/28/2008	1.5655	1.5689	1.576	1.5609	-0.21%
5/29/2008	1.5516	1.5653	1.5662	1.5485	-0.89%
5/30/2008	1.5554	1.5515	1.5567	1.5462	0.24%
6/2/2008	1.5539	1.556	1.5588	1.5486	-0.10%
6/3/2008	1.545	1.5538	1.5628	1.541	-0.57%
6/4/2008	1.5434	1.5449	1.5483	1.5419	-0.10%
6/5/2008	1.5596	1.5433	1.5604	1.5365	1.05%
6/6/2008	1.5777	1.5595	1.5777	1.5571	1.16%
6/9/2008	1.5646	1.5779	1.5843	1.5618	-0.83%
6/10/2008	1.5459	1.5645	1.5647	1.544	-1.20%
6/11/2008	1.556	1.546	1.5584	1.5454	0.65%
6/12/2008	1.5446	1.5561	1.5562	1.5378	-0.73%
6/13/2008	1.5379	1.5447	1.5463	1.5302	-0.43%
6/16/2008	1.5465	1.5383	1.5518	1.5346	0.56%
6/17/2008	1.5516	1.5466	1.555	1.5461	0.33%
6/18/2008	1.5545	1.5517	1.5552	1.5462	0.19%
6/19/2008	1.5498	1.5546	1.5586	1.5466	-0.30%
6/20/2008	1.5606	1.5499	1.5651	1.5491	0.70%
6/23/2008	1.5522	1.5601	1.5628	1.5468	-0.54%
6/24/2008	1.5573	1.5521	1.5622	1.5491	0.33%
6/25/2008	1.5663	1.5574	1.5687	1.5537	0.58%
6/26/2008	1.576	1.5664	1.5766	1.5628	0.62%
6/27/2008	1.5791	1.5759	1.5791	1.5719	0.20%
6/30/2008	1.576	1.5791	1.5835	1.5731	-0.20%
7/1/2008	1.579	1.5761	1.5826	1.5723	0.19%
7/2/2008	1.5878	1.5791	1.589	1.5777	0.56%
7/3/2008	1.5685	1.5879	1.5908	1.5674	-1.22%
7/4/2008	1.5706	1.5686	1.5727	1.5655	0.13%
7/7/2008	1.5724	1.5693	1.5753	1.5611	0.11%
7/8/2008	1.5664	1.5723	1.5739	1.5634	-0.38%
7/9/2008	1.5729	1.5665	1.575	1.565	0.41%
7/10/2008	1.5787	1.5728	1.5801	1.5691	0.37%
7/11/2008	1.5938	1.5786	1.5942	1.5764	0.96%
7/14/2008	1.5889	1.59	1.5934	1.5841	-0.31%
7/15/2008	1.5916	1.589	1.6038	1.5866	0.17%
7/16/2008	1.5824	1.5915	1.5948	1.58	-0.58%
7/17/2008	1.5851	1.5825	1.5893	1.5783	0.17%
7/18/2008	1.5847	1.5852	1.5887	1.5807	-0.03%
7/21/2008	1.5913	1.5842	1.5931	1.5832	0.42%
7/22/2008	1.5779	1.5912	1.5944	1.5758	-0.84%
7/23/2008	1.5683	1.5778	1.5797	1.567	-0.61%
7/24/2008	1.5684	1.5684	1.5713	1.5628	0.01%
7/25/2008	1.5709	1.5685	1.5753	1.5661	0.16%
7/28/2008	1.5744	1.5693	1.5768	1.5684	0.22%
7/29/2008	1.5589	1.5743	1.5758	1.5553	-0.98%
7/30/2008	1.5581	1.559	1.5615	1.5521	-0.05%
7/31/2008	1.5586	1.558	1.57	1.557	0.03%
8/1/2008	1.5564	1.5581	1.5589	1.5515	-0.14%
8/4/2008	1.5565	1.5567	1.5631	1.5553	0.01%
8/5/2008	1.5466	1.5566	1.5566	1.5446	-0.64%
8/6/2008	1.5423	1.5465	1.5516	1.5398	-0.28%
8/7/2008	1.5314	1.5421	1.5502	1.531	-0.71%
8/8/2008	1.5005	1.5313	1.5314	1.4997	-2.02%
8/11/2008	1.4913	1.4933	1.5083	1.4879	-0.61%
8/12/2008	1.489	1.4917	1.4964	1.4815	-0.15%
8/13/2008	1.4899	1.4891	1.4977	1.4841	0.06%
